"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","15000","2051.3","2167.75","2051.3","2167.75","2167.75","2279.95","4","34.16","4.16","1500","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","15250","0","0","0","3419.8","0","2067.35","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","13750","0","0","0","4596.75","0","3436.6","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","14000","3104.9","3185","3104.9","3185","3185","3185","2","17.14","3.14","400","-100","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","14250","0","0","0","4184.35","0","2959.5","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","13000","0","0","0","3052","3052","4171.3","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","13250","0","0","0","5026.45","0","3924.75","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","13500","0","0","0","3575","3575","3679.65","0","0","0","300","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","12000","0","0","0","4020","4020","5164.85","0","0","0","550","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","12250","0","0","0","5929.2","0","4915.85","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","12500","0","0","0","5698.85","0","4667.15","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","16750","0","0","0","2013.7","0","1408.4","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","18000","0","0","0","1432.35","0","851.85","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","17250","0","0","0","1763.05","0","1160.9","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","16000","0","0","0","2436.35","0","1844","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","16250","0","0","0","2289.15","0","1690.15","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","16500","0","0","0","662.05","662.05","1544.95","0","0","0","50","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","15250","0","0","0","2916.5","0","2356.85","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","15500","0","0","0","2749.65","0","2177.85","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","15750","0","0","0","2589.9","0","2006.35","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","14250","0","0","0","3640.5","0","3145.35","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","14500","0","0","0","3450.75","0","2937.9","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","14750","0","0","0","3267.2","0","2736.9","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","15000","0","0","0","3088.85","0","2542.9","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","13500","0","0","0","4241.6","0","3801.6","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","13750","0","0","0","4036.15","0","3577.75","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","14000","0","0","0","3835.7","0","3358.8","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","12750","0","0","0","4885.1","0","4497.2","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","13000","0","0","0","4666.35","0","4261.85","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","13250","0","0","0","4451.75","0","4029.8","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","12000","0","0","0","5563","0","5218.25","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","12250","0","0","0","5333.75","0","4975.85","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","12500","0","0","0","5107.65","0","4735.35","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","22250","0","0","0","376.35","0","99.55","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","24-Feb-2022","CE","22500","0","0","0","345.4","0","86.15","0","0","0","0","0","-"
